,会社名,本社,代表者,設立,資本金,売上高,店舗,従業員数,事業内容,関連会社,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,,,,,,,,,,,北海道札幌市中央区北１条西７丁目３番地８,011-231-9711,●,,●,●,,
1,,,,,,,,,,,北海道札幌市中央区北５条東１丁目２番５号,011-261-3211,●,,●,●,,
2,,,,,,,,,,,北海道札幌市中央区宮の森３条１丁目１番４６号,011-621-1111,●,,●,●,,
3,,,,,,,,,,,北海道札幌市中央区南５条西１０丁目１０１１番地１８,011-533-6311,●,,●,●,,
4,,,,,,,,,,,北海道札幌市東区北２５条東１丁目１番３３号,011-711-7191,●,,●,●,,
5,,,,,,,,,,,北海道札幌市東区東苗穂５条３丁目１－１,011-783-2811,●,,●,●,,
6,,,,,,,,,,,北海道札幌市東区北３４条東１９丁目１番１号,011-784-7211,●,,●,●,,
7,,,,,,,,,,,北海道札幌市北区篠路１条５丁目５番１号,011-773-7111,●,,●,●,,
8,,,,,,,,,,,北海道札幌市北区新琴似８条９丁目１番１号,011-763-8811,●,,●,●,,
9,,,,,,,,,,,北海道札幌市白石区本通２１丁目南１番２３号,011-864-1171,●,,●,●,,
10,,,,,,,,,,,北海道札幌市白石区菊水６条４丁目３番２１号,011-823-2311,●,,●,●,●,●
11,,,,,,,,,,,北海道札幌市白石区北郷２条９丁目２番１１号,011-875-3111,●,,●,●,,
12,,,,,,,,,,,北海道札幌市厚別区厚別東５条４丁目１番１号,011-898-1111,●,,●,●,,
13,,,,,,,,,,,北海道札幌市豊平区月寒中央通１０丁目２番１３号,011-851-6121,●,,●,●,,
14,,,,,,,,,,,北海道札幌市南区南３２条西１０丁目１番２６号,011-581-3151,●,,●,●,,
15,,,,,,,,,,,北海道札幌市西区八軒６条西１０丁目１番７号,011-641-6511,●,,●,●,,
16,,,,,,,,,,,北海道札幌市西区西野３条２丁目１番１１号,011-665-3111,●,,●,●,,
17,,,,,,,,,,,北海道札幌市手稲区富丘３条５丁目１番１号,011-683-4111,●,,●,●,,
18,,,,,,,,,,,北海道石狩市花川東１条４丁目２３番１,0133-74-3201,●,,●,●,,
19,,,,,,,,,,,北海道江別市幸町２３番地,011-382-2114,●,,●,●,●,●
20,,,,,,,,,,,北海道北広島市大曲並木１丁目７番地１,011-377-5611,●,,●,●,,
21,,,,,,,,,,,北海道恵庭市住吉町１丁目４番１号,0123-32-3171,●,,●,●,,
22,,,,,,,,,,,北海道千歳市本町２丁目１番地,0123-26-3345,●,,●,●,●,●
23,,,,,,,,,,,北海道小樽市長橋４丁目６番６号,0134-23-5211,●,,●,●,,
24,,,,,,,,,,,北海道余市郡余市町黒川町１０９０番地１,0135-23-8581,●,,●,●,,
25,,,,,,,,,,,北海道岩内郡共和町リヤムナイ２番地４０,0135-62-2626,●,●,●,●,,
26,,,,,,,,,,,北海道虻田郡倶知安町比羅夫１番地１５,0136-23-3111,●,●,●,●,,
27,,,,,,,,,,,北海道苫小牧市新開町２丁目１番４号,0144-84-3333,●,,●,●,,
28,,,,,,,,,,,北海道苫小牧市永福町１丁目５番８号,0144-74-7171,●,●,●,●,,
29,,,,,,,,,,,北海道室蘭市東町３丁目１７番１号,0143-43-1111,●,,●,●,●,●
30,,,,,,,,,,,北海道伊達市梅本町３８番地１,0142-23-4334,●,●,●,●,,
31,,,,,,,,,,,北海道岩見沢市４条東１４丁目５番地,0126-22-3181,●,,●,●,,
32,,,,,,,,,,,北海道夕張郡栗山町角田２３７番地,0123-72-1411,●,,●,●,,
33,,,,,,,,,,,北海道滝川市緑町１丁目４番３０号,0125-22-2116,●,●,●,●,,
34,,,,,,,,,,,北海道札幌市手稲区西宮の沢２条１丁目１番３９号,011-669-1111,,●,●,●,,
35,,,,,,,,,,,北海道札幌市白石区南郷通１７丁目南３番１３号,011-864-4711,,●,●,●,,
36,,,,,,,,,,,北海道石狩市樽川５条１丁目１番地,0133-76-1111,,●,●,●,,
37,,,,,,,,,,,北海道室蘭市東町３丁目１７番１号,0143-43-1111,,●,●,●,●,
38,,,,,,,,,,,北海道小樽市塩谷１丁目３番３号,0134-26-4141,,●,●,,,
39,,,,,,,,,,,北海道苫小牧市新開町２丁目１番４号,0144-84-3333,,●,●,●,,
40,,,,,,,,,,,北海道岩見沢市４条東１４丁目５番地,0126-22-3181,,●,●,●,,
